Cancel Date,Client code,Service,Service Price,Staff,Booking Date,Canceled By,Cancel Description,Days
2024-09-18,CUST788,HAIRSTYLING,25,Sarah Wilson,2024-09-18,Amit Patel,Double-booked,0
2024-05-08,CUST367,PEDICURE,30,Priya Sharma,2023-12-04,Li Wei,Rescheduled,156
2024-05-05,CUST317,SKINCARE,80,Kunal Joshi,2024-03-07,Yuki Tanaka,Service issue,59
2024-07-14,CUST363,SPATREATMENT,55,Priya Sharma,2024-05-18,Amit Patel,Staff unavailable,57
2024-10-07,CUST265,WAXING,40,Sarah Wilson,2024-10-07,Priya Sharma,Staff unavailable,0
2024-04-19,CUST164,SKINCARE,70,Kunal Joshi,2023-11-06,Sarah Wilson,Service issue,165
2024-09-20,CUST645,MASSAGE,35,John Doe,2024-09-20,Michael Brown,Emergency closure,0
2024-03-16,CUST755,HAIRSTYLING,30,Jane Smith,2024-03-03,Anjali Singh,Service issue,13
2024-03-21,CUST002,BODYSCRUB,70,Sofia Chen,2024-03-21,Priya Sharma,Staff unavailable,0
2024-08-15,CUST554,MANICURE,30,Kunal Joshi,2024-02-28,Yuki Tanaka,Double-booked,169
2024-09-23,CUST853,HAIRSTYLING,45,Takeshi Yamada,2024-05-20,John Doe,Client no-show,126
2024-06-28,CUST187,SPATREATMENT,40,Kunal Joshi,2024-06-28,Anjali Singh,Client no-show,0
2023-12-18,CUST213,SPATREATMENT,35,Emily Davis,2023-12-18,Amit Patel,Service issue,0
2024-10-07,CUST121,WAXING,80,Anjali Singh,2024-06-10,Jane Smith,Client canceled,119
2024-08-21,CUST864,MASSAGE,60,Emily Davis,2024-08-21,Kunal Joshi,Service issue,0
2024-03-09,CUST196,PEDICURE,100,Sofia Chen,2024-03-09,Emily Davis,Emergency closure,0
2024-04-04,CUST843,WAXING,80,Sofia Chen,2024-03-18,Takeshi Yamada,Service issue,17
2024-03-25,CUST271,WAXING,60,Jane Smith,2024-03-18,Sofia Chen,Client no-show,7
2024-06-29,CUST166,MANICURE,55,Sofia Chen,2024-01-18,Anjali Singh,Staff unavailable,163
2024-05-11,CUST131,HAIRCOLOR,85,Li Wei,2023-12-06,Takeshi Yamada,Service issue,157
2024-04-12,CUST447,MASSAGE,120,Kunal Joshi,2023-12-19,Takeshi Yamada,Staff unavailable,115
2024-07-05,CUST342,FACIAL,120,Kunal Joshi,2023-11-22,Amit Patel,Staff unavailable,226
2024-07-10,CUST097,WAXING,120,John Doe,2024-02-22,Emily Davis,Client canceled,139
2024-05-15,CUST419,NAILART,25,Amit Patel,2024-04-26,Ravi Kumar,Staff unavailable,19
2024-06-24,CUST692,MAKEUP,15,Sofia Chen,2024-04-20,Michael Brown,Client no-show,65
2024-08-12,CUST745,HAIRCOLOR,50,Emily Davis,2024-07-05,Takeshi Yamada,Double-booked,38
2024-05-28,CUST158,FACIAL,50,Sofia Chen,2024-05-28,Mei Ling,Double-booked,0
2024-07-19,CUST136,NAILART,120,Priya Sharma,2024-02-29,Yuki Tanaka,Rescheduled,141
2024-06-28,CUST348,MASSAGE,100,John Doe,2024-06-28,Sarah Wilson,Emergency closure,0
2024-01-11,CUST920,HAIRCUT,35,Li Wei,2023-12-06,Emily Davis,Service issue,36
2024-08-09,CUST135,NAILART,40,Li Wei,2024-08-09,Jane Smith,Emergency closure,0
2024-08-16,CUST016,BODYSCRUB,35,Mei Ling,2024-03-25,Li Wei,Client no-show,144
2024-02-22,CUST123,HAIRCOLOR,40,Kunal Joshi,2024-02-22,Jane Smith,Staff unavailable,0
2024-10-23,CUST351,SKINCARE,35,Li Wei,2024-10-23,Emily Davis,Double-booked,0
2024-02-09,CUST415,NAILART,15,Kunal Joshi,2024-01-28,Jane Smith,Emergency closure,12
2023-11-08,CUST076,EYEBROWTHREADING,25,Mei Ling,2023-11-05,Takeshi Yamada,Client no-show,3
2024-10-13,CUST124,HAIRCUT,25,Sarah Wilson,2023-12-12,Michael Brown,Double-booked,306
2024-06-02,CUST837,SPATREATMENT,120,Anjali Singh,2024-02-28,Jane Smith,Staff unavailable,95
2024-10-06,CUST917,SPATREATMENT,55,Michael Brown,2024-10-06,Anjali Singh,Emergency closure,0
2024-10-15,CUST491,BODYSCRUB,60,Yuki Tanaka,2024-10-15,Mei Ling,Double-booked,0
2024-04-08,CUST199,NAILART,55,Li Wei,2024-04-08,Jane Smith,Service issue,0
2024-02-21,CUST621,NAILART,70,Amit Patel,2024-02-21,Mei Ling,Service issue,0
2024-02-21,CUST868,MAKEUP,25,Priya Sharma,2023-10-31,Kunal Joshi,Rescheduled,113
2024-01-04,CUST392,MAKEUP,25,Ravi Kumar,2023-11-25,Amit Patel,Rescheduled,40
2024-08-10,CUST394,MAKEUP,80,Sarah Wilson,2023-10-24,John Doe,Double-booked,291
2024-08-05,CUST002,MANICURE,80,Li Wei,2024-01-03,Michael Brown,Client no-show,215
2024-04-04,CUST172,NAILART,60,Kunal Joshi,2024-01-19,Yuki Tanaka,Service issue,76
2024-05-25,CUST588,HAIRSTYLING,45,Anjali Singh,2024-02-23,Takeshi Yamada,Client no-show,92
2024-08-29,CUST322,PEDICURE,70,Mei Ling,2024-08-16,John Doe,Client no-show,13
2024-04-13,CUST273,EYEBROWTHREADING,55,Emily Davis,2024-04-13,Takeshi Yamada,Double-booked,0
2024-08-13,CUST321,MANICURE,100,Yuki Tanaka,2024-03-25,Amit Patel,Client no-show,141
2024-03-12,CUST231,MASSAGE,80,Ravi Kumar,2023-11-20,Takeshi Yamada,Service issue,113
2024-08-09,CUST633,MANICURE,100,Anjali Singh,2024-06-06,Kunal Joshi,Staff unavailable,64
2024-10-04,CUST186,HAIRSTYLING,30,Anjali Singh,2024-03-26,Michael Brown,Rescheduled,192
2024-04-06,CUST328,MASSAGE,80,Li Wei,2023-11-30,Emily Davis,Staff unavailable,128
2024-10-09,CUST932,EYEBROWTHREADING,15,Sarah Wilson,2024-09-04,Emily Davis,Client no-show,35
2024-07-13,CUST315,HAIRSTYLING,45,Takeshi Yamada,2023-10-25,Mei Ling,Staff unavailable,262
2024-02-26,CUST464,FACIAL,70,Ravi Kumar,2024-02-26,Amit Patel,Service issue,0
2024-05-09,CUST468,PEDICURE,85,Yuki Tanaka,2024-03-10,Mei Ling,Service issue,60
2024-04-27,CUST026,EYEBROWTHREADING,60,Jane Smith,2024-04-27,Kunal Joshi,Client no-show,0
2024-01-22,CUST848,NAILART,30,Michael Brown,2024-01-16,Sarah Wilson,Double-booked,6
2024-08-20,CUST587,MAKEUP,85,Jane Smith,2024-08-20,Jane Smith,Staff unavailable,0
2024-07-25,CUST809,FACIAL,70,Takeshi Yamada,2024-07-25,Sofia Chen,Double-booked,0
2024-10-02,CUST704,BODYSCRUB,55,Kunal Joshi,2024-10-02,Sarah Wilson,Double-booked,0
2024-07-16,CUST245,EYEBROWTHREADING,120,Kunal Joshi,2023-10-25,Jane Smith,Client canceled,265
2024-09-28,CUST934,BODYSCRUB,15,Priya Sharma,2024-05-17,Michael Brown,Client no-show,134
2024-10-21,CUST527,MASSAGE,70,Ravi Kumar,2024-04-07,Mei Ling,Rescheduled,197
2024-08-25,CUST637,FACIAL,15,Jane Smith,2024-08-25,Yuki Tanaka,Service issue,0
2024-05-17,CUST895,PEDICURE,15,Kunal Joshi,2024-05-17,Michael Brown,Service issue,0
2024-03-23,CUST902,NAILART,100,Takeshi Yamada,2024-03-23,Kunal Joshi,Client no-show,0
2024-08-17,CUST166,NAILART,35,Li Wei,2024-08-17,Priya Sharma,Emergency closure,0
2023-12-20,CUST264,HAIRSTYLING,85,John Doe,2023-12-20,Priya Sharma,Emergency closure,0
2024-02-07,CUST783,NAILART,120,Mei Ling,2024-02-07,Priya Sharma,Emergency closure,0
2024-09-10,CUST949,SKINCARE,55,John Doe,2024-07-10,Kunal Joshi,Rescheduled,62
2024-08-02,CUST862,WAXING,30,Sofia Chen,2024-08-02,Yuki Tanaka,Service issue,0
2024-04-21,CUST355,MANICURE,70,Yuki Tanaka,2023-12-10,Takeshi Yamada,Client no-show,133
2024-08-04,CUST344,MAKEUP,40,Jane Smith,2024-06-09,Michael Brown,Service issue,56
2024-08-28,CUST194,HAIRCUT,30,Priya Sharma,2024-08-16,Jane Smith,Double-booked,12
2024-03-28,CUST063,PEDICURE,35,Sofia Chen,2024-03-28,Kunal Joshi,Staff unavailable,0
2024-10-21,CUST644,FACIAL,30,Kunal Joshi,2024-10-21,Priya Sharma,Staff unavailable,0
2024-01-08,CUST353,WAXING,25,Emily Davis,2024-01-04,Yuki Tanaka,Service issue,4
2024-09-26,CUST141,PEDICURE,55,Amit Patel,2024-09-26,Amit Patel,Client canceled,0
2024-04-13,CUST708,FACIAL,40,Emily Davis,2024-01-04,Kunal Joshi,Rescheduled,100
2024-03-16,CUST497,MAKEUP,35,Takeshi Yamada,2024-03-16,Li Wei,Emergency closure,0
2024-01-05,CUST339,HAIRCOLOR,100,Ravi Kumar,2024-01-05,Takeshi Yamada,Rescheduled,0
2024-03-21,CUST845,HAIRCOLOR,85,Anjali Singh,2024-03-21,Jane Smith,Rescheduled,0
2024-05-24,CUST296,BODYSCRUB,70,Mei Ling,2024-05-24,Priya Sharma,Double-booked,0
2024-01-19,CUST556,PEDICURE,45,Jane Smith,2024-01-19,Ravi Kumar,Rescheduled,0
2024-06-29,CUST859,HAIRCOLOR,50,Yuki Tanaka,2024-01-31,Emily Davis,Staff unavailable,150
2024-08-21,CUST651,SKINCARE,85,Priya Sharma,2024-08-21,Yuki Tanaka,Double-booked,0
2024-10-22,CUST024,FACIAL,35,Priya Sharma,2024-04-26,Emily Davis,Client no-show,179
2024-07-28,CUST487,BODYSCRUB,60,Yuki Tanaka,2024-07-21,Sarah Wilson,Rescheduled,7
2024-06-24,CUST898,NAILART,55,Takeshi Yamada,2024-06-24,Emily Davis,Rescheduled,0
2024-08-04,CUST410,FACIAL,70,Sarah Wilson,2024-08-04,Jane Smith,Client no-show,0
2024-07-04,CUST914,BODYSCRUB,85,Kunal Joshi,2024-05-04,Anjali Singh,Rescheduled,61
2024-06-21,CUST508,MAKEUP,120,Amit Patel,2024-06-21,Mei Ling,Client no-show,0
2024-05-03,CUST950,PEDICURE,35,Michael Brown,2024-05-03,Jane Smith,Double-booked,0
2024-06-21,CUST969,MAKEUP,25,Michael Brown,2023-11-01,Takeshi Yamada,Staff unavailable,233
2024-04-02,CUST100,WAXING,50,Michael Brown,2024-02-20,Li Wei,Client no-show,42
2024-02-01,CUST079,MAKEUP,25,Jane Smith,2024-01-01,Jane Smith,Client canceled,31
2024-05-17,CUST695,HAIRSTYLING,50,Michael Brown,2024-05-17,Kunal Joshi,Client no-show,0
2024-07-12,CUST397,NAILART,85,Li Wei,2024-03-13,Yuki Tanaka,Rescheduled,121
2024-05-07,CUST794,EYEBROWTHREADING,120,John Doe,2024-05-07,Sofia Chen,Emergency closure,0
2024-02-08,CUST997,MAKEUP,45,Priya Sharma,2023-12-05,Yuki Tanaka,Emergency closure,65
2024-04-08,CUST929,WAXING,55,Amit Patel,2024-04-08,Mei Ling,Double-booked,0
2024-05-27,CUST384,MASSAGE,60,John Doe,2024-03-30,Ravi Kumar,Service issue,58
2024-05-10,CUST248,SKINCARE,70,Anjali Singh,2024-04-10,Emily Davis,Double-booked,30
2024-06-15,CUST810,FACIAL,100,Amit Patel,2024-02-20,Mei Ling,Service issue,116
2024-09-29,CUST074,MASSAGE,25,John Doe,2024-09-29,Emily Davis,Emergency closure,0
2024-04-03,CUST645,WAXING,25,Amit Patel,2024-04-03,Sarah Wilson,Emergency closure,0
2024-06-23,CUST147,BODYSCRUB,15,Anjali Singh,2024-06-23,Mei Ling,Client no-show,0
2024-05-21,CUST417,EYEBROWTHREADING,50,Sofia Chen,2024-05-21,Priya Sharma,Staff unavailable,0
2024-09-19,CUST414,NAILART,80,Li Wei,2024-09-19,Takeshi Yamada,Client canceled,0
2024-09-09,CUST869,NAILART,45,Jane Smith,2024-09-09,Takeshi Yamada,Double-booked,0
2024-10-11,CUST955,NAILART,70,Jane Smith,2024-04-10,Emily Davis,Rescheduled,184
2024-02-02,CUST840,SKINCARE,50,Takeshi Yamada,2024-01-14,Ravi Kumar,Service issue,19
2024-06-26,CUST326,EYEBROWTHREADING,15,Yuki Tanaka,2023-12-23,Priya Sharma,Rescheduled,186
2024-09-23,CUST340,SKINCARE,30,Kunal Joshi,2024-09-23,John Doe,Staff unavailable,0
2024-09-15,CUST844,SKINCARE,50,Priya Sharma,2024-08-17,Michael Brown,Service issue,29
2024-06-13,CUST645,HAIRCUT,100,Michael Brown,2024-06-13,Michael Brown,Double-booked,0
2024-09-27,CUST669,EYEBROWTHREADING,70,Li Wei,2024-03-09,Ravi Kumar,Client no-show,202
2024-06-01,CUST528,HAIRSTYLING,85,Emily Davis,2024-06-01,Sofia Chen,Rescheduled,0
2024-04-20,CUST910,EYEBROWTHREADING,45,Michael Brown,2024-02-27,John Doe,Staff unavailable,53
2024-04-17,CUST016,WAXING,15,Kunal Joshi,2024-04-17,Sarah Wilson,Double-booked,0
2024-08-09,CUST125,HAIRCUT,30,Priya Sharma,2024-04-07,Ravi Kumar,Emergency closure,124
2024-08-27,CUST536,NAILART,55,Ravi Kumar,2024-03-05,Priya Sharma,Emergency closure,175
2024-04-11,CUST424,WAXING,40,Kunal Joshi,2024-04-11,Michael Brown,Double-booked,0
2024-10-04,CUST811,WAXING,15,Li Wei,2024-01-31,Kunal Joshi,Double-booked,247
2024-03-30,CUST986,SPATREATMENT,40,John Doe,2024-01-19,Michael Brown,Double-booked,71
2024-07-11,CUST108,MANICURE,70,Amit Patel,2024-01-02,Michael Brown,Service issue,191
2024-04-08,CUST558,HAIRCUT,25,Yuki Tanaka,2023-12-11,Priya Sharma,Double-booked,119
2024-06-05,CUST597,WAXING,15,Yuki Tanaka,2024-06-05,Amit Patel,Rescheduled,0
2024-10-21,CUST513,MANICURE,55,Emily Davis,2024-05-25,Ravi Kumar,Staff unavailable,149
2024-03-10,CUST100,MANICURE,60,Li Wei,2024-03-10,Jane Smith,Service issue,0
2024-02-14,CUST229,HAIRCUT,40,Anjali Singh,2023-11-03,Yuki Tanaka,Double-booked,103
2024-04-02,CUST355,SPATREATMENT,100,Ravi Kumar,2024-04-02,Sarah Wilson,Client canceled,0
2024-08-05,CUST994,MASSAGE,60,Anjali Singh,2024-08-05,Michael Brown,Client canceled,0
2024-08-09,CUST385,BODYSCRUB,35,Jane Smith,2024-08-09,Yuki Tanaka,Staff unavailable,0
2024-09-29,CUST981,HAIRSTYLING,35,Takeshi Yamada,2024-09-29,Takeshi Yamada,Emergency closure,0
2024-02-25,CUST085,BODYSCRUB,30,Jane Smith,2023-12-19,Kunal Joshi,Client no-show,68
2024-03-05,CUST612,EYEBROWTHREADING,45,Kunal Joshi,2023-12-21,Emily Davis,Client no-show,75
2024-10-11,CUST551,NAILART,25,Michael Brown,2024-10-11,Ravi Kumar,Emergency closure,0
2024-03-01,CUST441,HAIRSTYLING,70,John Doe,2023-12-17,Li Wei,Service issue,75
2024-07-15,CUST552,EYEBROWTHREADING,15,Emily Davis,2024-07-15,Priya Sharma,Service issue,0
2024-08-10,CUST563,WAXING,80,Kunal Joshi,2024-06-12,Amit Patel,Service issue,59
2024-04-29,CUST958,NAILART,100,Mei Ling,2023-12-09,Takeshi Yamada,Client no-show,142
2024-10-05,CUST481,FACIAL,40,Ravi Kumar,2024-01-04,Ravi Kumar,Client canceled,275
2024-08-17,CUST008,HAIRCUT,70,Yuki Tanaka,2023-11-02,Sarah Wilson,Client no-show,289
2024-07-24,CUST066,HAIRSTYLING,60,Ravi Kumar,2024-07-24,Kunal Joshi,Rescheduled,0
2024-07-24,CUST736,HAIRSTYLING,120,Kunal Joshi,2024-03-01,Amit Patel,Double-booked,145
2024-07-27,CUST952,MAKEUP,35,Kunal Joshi,2024-05-14,Sarah Wilson,Service issue,74
2024-09-20,CUST332,WAXING,120,Li Wei,2024-09-20,Takeshi Yamada,Client canceled,0
2024-03-09,CUST975,MASSAGE,55,Michael Brown,2023-11-24,Ravi Kumar,Staff unavailable,106
2024-05-29,CUST981,MANICURE,100,Jane Smith,2024-01-10,Jane Smith,Staff unavailable,140
2024-09-07,CUST035,NAILART,80,Yuki Tanaka,2024-06-26,Takeshi Yamada,Double-booked,73
2024-06-25,CUST150,WAXING,15,Takeshi Yamada,2024-06-25,Li Wei,Client canceled,0
2024-08-30,CUST048,HAIRCOLOR,30,Michael Brown,2024-07-17,Sarah Wilson,Client no-show,44
2024-08-01,CUST847,SPATREATMENT,80,Amit Patel,2024-06-07,Amit Patel,Client no-show,55
2024-08-31,CUST340,MANICURE,100,Li Wei,2024-08-31,Amit Patel,Rescheduled,0
2024-03-30,CUST528,HAIRCUT,80,Li Wei,2024-03-30,Yuki Tanaka,Rescheduled,0
2024-05-09,CUST425,MANICURE,100,Emily Davis,2024-03-24,Sarah Wilson,Client no-show,46
2024-07-24,CUST003,MASSAGE,100,John Doe,2024-06-09,Anjali Singh,Staff unavailable,45
2024-06-11,CUST800,MAKEUP,50,Takeshi Yamada,2024-06-11,Ravi Kumar,Service issue,0
2024-08-29,CUST457,MANICURE,40,Priya Sharma,2024-08-29,Anjali Singh,Staff unavailable,0
2024-04-24,CUST929,HAIRCUT,85,Sofia Chen,2024-03-01,Sofia Chen,Rescheduled,54
2024-09-14,CUST379,MASSAGE,120,Priya Sharma,2024-09-14,Ravi Kumar,Double-booked,0
2024-07-15,CUST411,BODYSCRUB,85,Kunal Joshi,2024-07-15,Sarah Wilson,Client no-show,0
2024-09-06,CUST185,HAIRSTYLING,85,Sarah Wilson,2024-09-06,John Doe,Rescheduled,0
2024-09-15,CUST709,MAKEUP,85,Yuki Tanaka,2024-09-15,Kunal Joshi,Rescheduled,0
2024-07-09,CUST018,HAIRSTYLING,35,Sarah Wilson,2024-07-09,Sarah Wilson,Service issue,0
2024-06-13,CUST488,SPATREATMENT,50,Li Wei,2024-06-13,Anjali Singh,Client no-show,0
2024-05-20,CUST998,EYEBROWTHREADING,15,Michael Brown,2023-12-08,Jane Smith,Service issue,164
2024-08-18,CUST735,BODYSCRUB,50,Amit Patel,2024-07-27,Kunal Joshi,Client no-show,22
2024-05-01,CUST411,BODYSCRUB,25,Emily Davis,2024-05-01,Sarah Wilson,Service issue,0
2024-01-11,CUST116,NAILART,25,Mei Ling,2023-12-19,Sarah Wilson,Staff unavailable,23
2024-07-30,CUST576,SKINCARE,35,Sarah Wilson,2024-07-30,Jane Smith,Double-booked,0
2024-08-18,CUST485,MANICURE,80,Emily Davis,2024-01-01,Sarah Wilson,Double-booked,230
2024-05-08,CUST360,HAIRSTYLING,40,Li Wei,2024-05-08,Kunal Joshi,Client no-show,0
2024-05-22,CUST887,HAIRCUT,35,John Doe,2024-01-06,Michael Brown,Client canceled,137
2024-09-15,CUST204,PEDICURE,100,Anjali Singh,2024-09-15,John Doe,Emergency closure,0
2024-07-12,CUST865,SKINCARE,60,Priya Sharma,2024-07-12,Emily Davis,Rescheduled,0
2024-05-01,CUST433,PEDICURE,40,Amit Patel,2024-01-17,John Doe,Rescheduled,105
2024-08-10,CUST468,MAKEUP,45,Yuki Tanaka,2024-08-10,Priya Sharma,Client no-show,0
2024-04-24,CUST061,MASSAGE,120,Jane Smith,2023-10-24,Li Wei,Service issue,183
2024-05-29,CUST325,HAIRSTYLING,40,Kunal Joshi,2024-05-29,Yuki Tanaka,Client canceled,0
2024-08-14,CUST489,HAIRSTYLING,100,Emily Davis,2023-12-26,Sarah Wilson,Staff unavailable,232
2024-03-21,CUST512,SKINCARE,100,John Doe,2024-02-10,Michael Brown,Service issue,40
2024-10-18,CUST499,SPATREATMENT,30,Mei Ling,2024-10-18,Ravi Kumar,Service issue,0
2024-08-09,CUST904,SKINCARE,85,Sofia Chen,2024-07-29,Sarah Wilson,Client no-show,11
2024-05-28,CUST529,PEDICURE,35,Priya Sharma,2023-11-09,Anjali Singh,Client no-show,201
2024-08-09,CUST957,SKINCARE,100,Jane Smith,2024-08-09,Takeshi Yamada,Rescheduled,0
2024-09-09,CUST930,HAIRSTYLING,25,Yuki Tanaka,2024-03-11,Michael Brown,Client no-show,182
2024-08-18,CUST460,SPATREATMENT,85,Priya Sharma,2024-08-18,Jane Smith,Client no-show,0
2024-04-18,CUST154,MANICURE,15,Li Wei,2024-04-18,Michael Brown,Client no-show,0
2024-09-29,CUST945,HAIRCOLOR,60,Sofia Chen,2024-06-24,Priya Sharma,Rescheduled,97
2024-09-12,CUST585,NAILART,120,Priya Sharma,2024-09-12,Jane Smith,Staff unavailable,0
2024-01-19,CUST424,FACIAL,35,Takeshi Yamada,2024-01-02,Sofia Chen,Staff unavailable,17
2024-01-11,CUST682,BODYSCRUB,70,Mei Ling,2023-12-04,Emily Davis,Emergency closure,38
2024-10-19,CUST924,SKINCARE,25,John Doe,2024-10-19,Mei Ling,Emergency closure,0
2024-08-30,CUST192,MAKEUP,55,Kunal Joshi,2024-06-12,Kunal Joshi,Client no-show,79
2024-01-22,CUST985,EYEBROWTHREADING,45,Sarah Wilson,2024-01-22,Michael Brown,Emergency closure,0
2024-08-06,CUST257,MASSAGE,80,Sofia Chen,2024-08-06,Kunal Joshi,Rescheduled,0
2024-03-29,CUST105,HAIRCOLOR,100,Yuki Tanaka,2024-03-29,Amit Patel,Staff unavailable,0
2024-03-13,CUST207,NAILART,70,Li Wei,2024-03-13,Anjali Singh,Service issue,0
2024-05-30,CUST604,NAILART,100,Takeshi Yamada,2024-01-06,Sarah Wilson,Staff unavailable,145
2024-06-04,CUST673,NAILART,40,Jane Smith,2024-02-15,Anjali Singh,Staff unavailable,110
2024-10-17,CUST504,NAILART,25,Michael Brown,2024-10-05,Kunal Joshi,Rescheduled,12
2024-05-14,CUST893,PEDICURE,40,Ravi Kumar,2023-11-03,John Doe,Emergency closure,193
2024-05-17,CUST643,MAKEUP,30,Emily Davis,2023-11-24,Mei Ling,Service issue,175
2024-10-06,CUST988,MAKEUP,40,Kunal Joshi,2023-12-01,John Doe,Rescheduled,310
2024-08-21,CUST874,SPATREATMENT,30,Priya Sharma,2024-01-04,Sofia Chen,Client no-show,230
2023-12-06,CUST560,BODYSCRUB,45,Sarah Wilson,2023-12-06,Mei Ling,Double-booked,0
2024-10-23,CUST301,HAIRSTYLING,30,Sofia Chen,2024-05-04,Mei Ling,Staff unavailable,172
2024-06-09,CUST415,NAILART,70,Priya Sharma,2024-06-09,John Doe,Double-booked,0
2024-07-04,CUST549,EYEBROWTHREADING,85,Anjali Singh,2024-07-04,Jane Smith,Rescheduled,0
2024-05-16,CUST208,HAIRSTYLING,100,Emily Davis,2024-05-16,Priya Sharma,Rescheduled,0
2024-08-30,CUST151,MAKEUP,80,Michael Brown,2024-08-30,Kunal Joshi,Rescheduled,0
2024-05-30,CUST898,HAIRCUT,85,Takeshi Yamada,2024-04-18,John Doe,Double-booked,42
2024-06-16,CUST697,HAIRCUT,120,Yuki Tanaka,2024-06-16,Anjali Singh,Rescheduled,0
2024-08-23,CUST087,EYEBROWTHREADING,40,Mei Ling,2024-08-23,Jane Smith,Client no-show,0
2024-09-03,CUST359,SPATREATMENT,55,Takeshi Yamada,2024-09-03,Anjali Singh,Rescheduled,0
2024-09-16,CUST068,MAKEUP,120,Takeshi Yamada,2024-09-16,Priya Sharma,Client canceled,0
2024-05-24,CUST012,EYEBROWTHREADING,25,Ravi Kumar,2024-05-24,Sofia Chen,Emergency closure,0
2024-10-05,CUST866,PEDICURE,30,John Doe,2024-10-05,Sarah Wilson,Double-booked,0
2024-10-14,CUST441,SKINCARE,100,Takeshi Yamada,2024-10-14,Priya Sharma,Client canceled,0
2024-09-14,CUST304,EYEBROWTHREADING,60,Priya Sharma,2023-12-12,Li Wei,Rescheduled,277
2024-02-16,CUST274,MANICURE,35,Michael Brown,2024-02-16,Ravi Kumar,Client no-show,0
2024-05-13,CUST290,HAIRSTYLING,70,Michael Brown,2023-11-16,Jane Smith,Staff unavailable,179
2024-07-05,CUST610,HAIRCOLOR,80,Mei Ling,2024-03-03,Sofia Chen,Service issue,124
2024-04-21,CUST649,WAXING,50,Amit Patel,2023-12-05,Li Wei,Emergency closure,138
2024-08-16,CUST457,SPATREATMENT,70,Mei Ling,2024-08-16,Amit Patel,Service issue,0
2024-08-17,CUST504,EYEBROWTHREADING,45,Priya Sharma,2024-08-17,Sofia Chen,Rescheduled,0
2024-08-30,CUST567,MAKEUP,60,Yuki Tanaka,2024-06-30,John Doe,Emergency closure,61
2024-08-18,CUST080,MASSAGE,55,Amit Patel,2024-01-28,Yuki Tanaka,Emergency closure,203
2024-03-04,CUST387,HAIRCUT,35,Amit Patel,2023-12-01,John Doe,Client no-show,94
2024-10-02,CUST160,MANICURE,60,Sarah Wilson,2024-10-02,Priya Sharma,Emergency closure,0
2024-10-11,CUST581,BODYSCRUB,40,Sarah Wilson,2024-10-11,Ravi Kumar,Double-booked,0
2024-07-23,CUST466,NAILART,30,Jane Smith,2024-07-23,Sofia Chen,Client canceled,0
2024-09-09,CUST421,WAXING,80,Sofia Chen,2024-03-31,Kunal Joshi,Client canceled,162
2023-12-27,CUST787,SPATREATMENT,15,Sofia Chen,2023-12-27,Emily Davis,Client canceled,0
2024-06-09,CUST416,HAIRCOLOR,30,Li Wei,2024-06-09,Sarah Wilson,Double-booked,0
2024-03-29,CUST924,WAXING,15,Kunal Joshi,2024-03-29,Priya Sharma,Service issue,0
2024-07-08,CUST315,EYEBROWTHREADING,120,John Doe,2024-01-01,John Doe,Client no-show,189
2024-07-27,CUST177,PEDICURE,35,Sofia Chen,2024-07-27,Ravi Kumar,Emergency closure,0
2024-05-02,CUST193,HAIRCUT,100,Sarah Wilson,2024-05-02,Sarah Wilson,Double-booked,0
2024-04-27,CUST334,MAKEUP,50,Jane Smith,2023-12-13,Sofia Chen,Client canceled,136
2024-09-16,CUST251,HAIRCUT,25,Takeshi Yamada,2024-09-16,Kunal Joshi,Rescheduled,0
2024-06-25,CUST007,BODYSCRUB,85,Jane Smith,2024-02-01,Sofia Chen,Staff unavailable,145
